REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Texas,2010,40,X,2.06514,X,X,X,X,X,X,1050,98,50844
States,Texas,2010,41,X,2.09394,X,X,X,X,X,X,1061,97,50670
States,Texas,2010,42,X,2.10072,X,X,X,X,X,X,1090,98,51887
States,Texas,2010,43,X,2.20655,X,X,X,X,X,X,1117,96,50622
States,Texas,2010,44,X,2.36381,X,X,X,X,X,X,1218,99,51527
States,Texas,2010,45,X,2.51778,X,X,X,X,X,X,1310,97,52030
States,Texas,2010,46,X,2.24622,X,X,X,X,X,X,1121,95,49906
States,Texas,2010,47,X,2.59866,X,X,X,X,X,X,964,90,37096
States,Texas,2010,48,X,2.56617,X,X,X,X,X,X,1273,93,49607
States,Texas,2010,49,X,2.40335,X,X,X,X,X,X,1165,93,48474
States,Texas,2010,50,X,2.84097,X,X,X,X,X,X,1350,88,47519
States,Texas,2010,51,X,3.87315,X,X,X,X,X,X,1418,81,36611
States,Texas,2010,52,X,3.40711,X,X,X,X,X,X,1293,81,37950
States,Texas,2011,1,X,3.21248,X,X,X,X,X,X,1524,89,47440
States,Texas,2011,2,X,4.05996,X,X,X,X,X,X,1950,89,48030
States,Texas,2011,3,X,4.73202,X,X,X,X,X,X,2518,92,53212
States,Texas,2011,4,X,5.93439,X,X,X,X,X,X,3381,97,56973
States,Texas,2011,5,X,6.68052,X,X,X,X,X,X,3086,95,46194
States,Texas,2011,6,X,8.12867,X,X,X,X,X,X,3280,91,40351
States,Texas,2011,7,X,8.26519,X,X,X,X,X,X,4821,88,58329
States,Texas,2011,8,X,6.66045,X,X,X,X,X,X,3641,90,54666
States,Texas,2011,9,X,4.58565,X,X,X,X,X,X,2401,87,52359
States,Texas,2011,10,X,3.68025,X,X,X,X,X,X,1784,82,48475
States,Texas,2011,11,X,2.84749,X,X,X,X,X,X,1231,84,43231
States,Texas,2011,12,X,3.1125,X,X,X,X,X,X,1082,82,34763
States,Texas,2011,13,X,2.13536,X,X,X,X,X,X,968,79,45332
States,Texas,2011,14,X,1.83216,X,X,X,X,X,X,827,79,45138
States,Texas,2011,15,X,1.67025,X,X,X,X,X,X,770,83,46101
States,Texas,2011,16,X,1.66212,X,X,X,X,X,X,683,70,41092
States,Texas,2011,17,X,1.4454,X,X,X,X,X,X,605,70,41857
States,Texas,2011,18,X,1.62718,X,X,X,X,X,X,662,61,40684
States,Texas,2011,19,X,1.7883,X,X,X,X,X,X,730,68,40821
States,Texas,2011,20,X,1.43878,X,X,X,X,X,X,574,64,39895
States,Texas,2011,21,X,1.18284,X,X,X,X,X,X,459,56,38805
States,Texas,2011,22,X,1.47219,X,X,X,X,X,X,487,55,33080
States,Texas,2011,23,X,1.0381,X,X,X,X,X,X,391,51,37665
